"id","title","lat","lng"
39333,"Borough_High_Street",51.5033,-0.0916667
39375,"London_Charterhouse",51.5214,-0.0997222
39462,"Old_Compton_Street",51.5133,-0.13128
39473,"Carnaby_Street",51.5133,-0.138889
39683,"Bond_Street",51.5126,-0.1448
39746,"River_Westbourne",51.485,-0.1538
39937,"East_Coast_Main_Line",51.5314,-0.1234
40378,"Bankside_Gallery",51.5081,-0.101944
40898,"Academy_of_St_Martin_in_the_Fields",51.5237,-0.09609
41002,"Sloane_Square",51.4925,-0.157188
41065,"York_Road_tube_station",51.5383,-0.1225
41185,"Temple_Church",51.5132,-0.1104
41248,"Kingsway_telephone_exchange",51.518,-0.1105
41315,"11_Downing_Street",51.5034,-0.127833
41514,"John_Smith_House_(Southwark)",51.4907,-0.0976
41581,"Institute_of_Education",51.523,-0.12802
42290,"Odeon_Leicester_Square",51.5106,-0.129167
42293,"Odeon_West_End",51.5099,-0.1303
42444,"London_Business_School",51.5264,-0.160833
42477,"Horse_Guards_Parade",51.5047,-0.1283
42622,"Murder_of_Yvonne_Fletcher",51.5078,-0.135133
42827,"Brunswick_Centre",51.524,-0.124
42845,"London_School_of_Hygiene_&_Tropical_Medicine",51.5209,-0.1307
42851,"Tavistock_Square",51.525,-0.1291
42852,"University_College_Hospital",51.5252,-0.134397
42917,"London_Astoria",51.5158,-0.130556
42921,"Gordon_Square",51.5243,-0.1309
42928,"Royal_Veterinary_College",51.5368,-0.134
42930,"Courtauld_Institute_of_Art",51.5108,-0.117222
42931,"City_University_London",51.5273,-0.10247
42932,"Chelsea_College_of_Art_and_Design",51.4904,-0.12892
43146,"Sotheby's",51.5119,-0.143611
43759,"London_Hilton_on_Park_Lane",51.5056,-0.1503
43817,"Alsatia",51.513,-0.107
43856,"Marsham_Towers",51.4959,-0.129913
43941,"BBC_London_94.9",51.5185,-0.1431
43995,"Absolute_Radio",51.5122,-0.136937
44306,"Wallace_Collection",51.5175,-0.153056
44550,"Bush_House",51.5127,-0.117278
44608,"Dolphin_Square",51.4863,-0.136429
44613,"Paternoster_Square",51.5147,-0.0994444
44791,"City_of_Westminster_Magistrates'_Court",51.495,-0.12872
44796,"Chelsea_Bridge",51.4847,-0.15
45978,"Saffron_Hill",51.5202,-0.106642
46300,"St._Andrew-by-the-Wardrobe",51.5123,-0.101358
46439,"Portland_Gallery",51.5075,-0.140833
46483,"Parliament_Square",51.5006,-0.126667
46486,"St_Anne_and_St_Agnes",51.5164,-0.0963889
46487,"St_Augustine_Watling_Street",51.5135,-0.0969444
46489,"St_Bartholomew-the-Great",51.5189,-0.0996583
46827,"Carlton_Club",51.5058,-0.138889
46953,"Poets'_Corner",51.4992,-0.127361
47272,"St_Thomas_the_Apostle_(London)",51.5111,-0.0933333
47299,"St_Sepulchre-without-Newgate",51.5167,-0.102353
47584,"Little_Ben",51.4965,-0.14265
47589,"Blackfriars_Theatre",51.5128,-0.1025
48027,"Henry_VII_Chapel",51.4993,-0.1266
48098,"Holly_Lodge_Estate",51.5647,-0.14945
48228,"Royal_Hospital_Chelsea",51.4864,-0.157778
